Date,DESCRIPTION,Payee,Categorize or match,SPENT,RECEIVED
"03/11/2026","CHECK 2275","","*Employee Benefits","$938.84",""
"03/11/2026","CHECK 2280","","*Employee Benefits","$826.75",""
"03/11/2026","CHECK 2276","","Vendors - Manufacturers:BLU Bathworks","$3,041.49",""
"03/11/2026","DEPOSITED OR CASHED CHECK","","Vendors - Manufacturers:BLU Bathworks","$4,193.33",""
"03/09/2026","CHECK 2277","","Vendors - LPG Vendors:JACLO","$84.28",""
"03/09/2026","CHECK 2273","","Vendors - LPG Vendors:JACLO","$69.25",""
"03/09/2026","CHECK 2281","","*Employee Benefits","$532.27",""
"03/09/2026","CHECK 2279","","*Employee Benefits","$665.08",""
"03/09/2026","CHECK 2274","","Vendors - Wholesalers:Misc Suppliers","$2,791.07",""
